Customer_ID,Customer_Name,Gender,Senior_Citizen,Partner,Dependents,Contract_Type,Churn_Flag
C000001,Danielle Johnson,female,0,Yes,No,month-to-month,No
C000002,Benjamin Horton,male,0,No,No,one year,No
C000003,Ricky Weaver,male,0,No,No,month-to-month,Yes
C000004,Joseph Freeman,male,0,No,No,one year,No
C000005,Pamela Ross,female,0,No,No,month-to-month,Yes
C000006,Michael Jordan,female,0,No,No,month-to-month,Yes
C000007,Amy Anderson,male,0,No,Yes,month-to-month,No
C000008,Carl Gutierrez,female,0,No,No,month-to-month,No
C000009,Tyler Adams,female,0,Yes,No,month-to-month,Yes
C000010,John Shaw,male,0,No,Yes,one year,No
C000011,Tiffany Brown,male,0,Yes,Yes,month-to-month,No
C000012,Christina Wu,male,0,No,No,two year,No
C000013,Robin Taylor,male,0,Yes,No,one year,No
C000014,Christopher Sampson,male,0,No,No,month-to-month,Yes
C000015,Tammy Castro,male,0,No,No,month-to-month,No
C000016,Brad Lawrence,female,0,Yes,Yes,two year,No
C000017,Beverly Harris,female,0,No,No,one year,No
C000018,Jeffrey Cantu,male,0,No,Yes,two year,No
C000019,Kyle Lane,female,0,Yes,Yes,month-to-month,Yes
C000020,Troy Hawkins,female,0,No,No,month-to-month,No
C000021,Sarah Thompson,male,1,No,No,month-to-month,Yes
C000022,Sean Carter,male,0,Yes,No,one year,No
C000023,Thomas Mccoy,male,0,No,No,month-to-month,Yes
C000024,Robert Roberts,female,0,Yes,No,two year,No
C000025,Chad Hamilton,male,0,Yes,Yes,month-to-month,No
C000026,Charles Miranda,female,0,No,No,month-to-month,No
C000027,Judith Everett,male,0,Yes,Yes,month-to-month,Yes
C000028,Gabrielle Davis,male,0,Yes,Yes,month-to-month,Yes
C000029,Renee Carter,male,0,Yes,No,two year,No
C000030,Mario Harvey,female,0,No,Yes,month-to-month,Yes
C000031,Charles Wheeler,female,1,Yes,No,two year,No
C000032,Joshua Shaw,male,1,Yes,No,month-to-month,No
C000033,Michele Robertson,female,0,Yes,Yes,one year,No
C000034,Shannon Kim,male,0,No,No,month-to-month,No
C000035,Mitchell Clements,male,1,No,No,month-to-month,No
C000036,Lauren Nguyen,female,0,Yes,Yes,two year,No
C000037,Lisa Davis,male,0,No,No,month-to-month,Yes
C000038,Dustin Bailey,female,0,No,No,month-to-month,No
C000039,Joseph Weaver,male,0,No,No,month-to-month,Yes
C000040,William Chavez,female,0,No,No,month-to-month,Yes
C000041,Duane Burns,male,0,Yes,Yes,one year,No
C000042,Tyler Gates,female,0,Yes,Yes,two year,No
C000043,Jessica Sloan,female,0,Yes,Yes,one year,No
C000044,James Gilbert,female,0,No,No,two year,No
C000045,Latasha Johnson,female,0,Yes,No,month-to-month,No
C000046,Dustin Lopez,female,0,No,No,month-to-month,No
C000047,Raymond Lopez,male,0,No,No,month-to-month,No
C000048,Christopher Lawson,female,0,No,No,month-to-month,Yes
C000049,James Davis,male,0,No,No,two year,No
C000050,Christopher Jackson,female,0,Yes,Yes,two year,No
C000051,Robert Cunningham,female,1,No,No,month-to-month,No
C000052,Rita Snyder,female,0,No,No,month-to-month,Yes
C000053,Amy Martinez,female,1,Yes,No,month-to-month,No
C000054,Kathleen Palmer,female,1,Yes,No,month-to-month,Yes
C000055,Mitchell Velez,female,1,Yes,Yes,one year,No
C000056,James Shaffer,male,1,No,No,month-to-month,Yes
C000057,Michael Guerra,female,0,Yes,Yes,one year,No
C000058,Richard Gonzalez,male,1,Yes,Yes,one year,No
